"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX14305944","GSM5919963: RNA.h2o2_7h_2; Mus musculus; RNA-Seq","Mus musculus","DNBSEQ-G400","Faculty of Medicine, Technion","SRP361690","Stress-induced transcriptional readthrough into neighboring genes is linked to intron retention","SRS12122744","","1749.66","1","29561368","2956136800","GSM5919963","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX14305943","GSM5919962: RNA.h2o2_7h_1; Mus musculus; RNA-Seq","Mus musculus","DNBSEQ-G400","Faculty of Medicine, Technion","SRP361690","Stress-induced transcriptional readthrough into neighboring genes is linked to intron retention","SRS12122743","","2287.2","1","38222500","3822250000","GSM5919962","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX14305942","GSM5919961: RNA.h2o2_2h_2; Mus musculus; RNA-Seq","Mus musculus","DNBSEQ-G400","Faculty of Medicine, Technion","SRP361690","Stress-induced transcriptional readthrough into neighboring genes is linked to intron retention","SRS12122742","","2385.78","1","40000000","4000000000","GSM5919961","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX14305941","GSM5919960: RNA.h2o2_2h_1; Mus musculus; RNA-Seq","Mus musculus","DNBSEQ-G400","Faculty of Medicine, Technion","SRP361690","Stress-induced transcriptional readthrough into neighboring genes is linked to intron retention","SRS12122741","","2241.58","1","36924938","3692493800","GSM5919960","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"ERX1843818","NextSeq 500 sequencing; Ribosome profiling of Tunicamycin-treated and -untreated 17Cl1 cells","Mus musculus","NextSeq 500","University of Cambridge","ERP020878","Ribosome profiling of Tunicamycin-treated and -untreated 17Cl1 cells","ERS1498836","","542.63","1","39532721","1288029388","Index6_s","OTHER","TRANSCRIPTOMIC","other"
"ERX1843817","NextSeq 500 sequencing; Ribosome profiling of Tunicamycin-treated and -untreated 17Cl1 cells","Mus musculus","NextSeq 500","University of Cambridge","ERP020878","Ribosome profiling of Tunicamycin-treated and -untreated 17Cl1 cells","ERS1498835","","506.83","1","37542575","1205085937","Index5_s","OTHER","TRANSCRIPTOMIC","other"
"ERX1843816","NextSeq 500 sequencing; Ribosome profiling of Tunicamycin-treated and -untreated 17Cl1 cells","Mus musculus","NextSeq 500","University of Cambridge","ERP020878","Ribosome profiling of Tunicamycin-treated and -untreated 17Cl1 cells","ERS1498834","","402.57","1","29821675","932468233","Index4_s","OTHER","TRANSCRIPTOMIC","other"
"ERX1843815","NextSeq 500 sequencing; Ribosome profiling of Tunicamycin-treated and -untreated 17Cl1 cells","Mus musculus","NextSeq 500","University of Cambridge","ERP020878","Ribosome profiling of Tunicamycin-treated and -untreated 17Cl1 cells","ERS1498833","","563.72","1","41192456","1334040451","Index3_s","OTHER","TRANSCRIPTOMIC","other"
"ERX1843814","NextSeq 500 sequencing; Ribosome profiling of Tunicamycin-treated and -untreated 17Cl1 cells","Mus musculus","NextSeq 500","University of Cambridge","ERP020878","Ribosome profiling of Tunicamycin-treated and -untreated 17Cl1 cells","ERS1498832","","392.02","1","29797315","922180046","Index2_s","OTHER","TRANSCRIPTOMIC","other"
"ERX1843813","NextSeq 500 sequencing; Ribosome profiling of Tunicamycin-treated and -untreated 17Cl1 cells","Mus musculus","NextSeq 500","University of Cambridge","ERP020878","Ribosome profiling of Tunicamycin-treated and -untreated 17Cl1 cells","ERS1498831","","576.59","1","42262168","1394970125","Index1_s","OTHER","TRANSCRIPTOMIC","other"
"ERX4406302","NextSeq 500 sequencing; RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","Mesocricetus auratus","NextSeq 500","Division of Virology, Department of Pathology, Uni","ERP123475","RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","ERS4953018","","712.56","1","28688961","2180361036","WT_3_s","OTHER","TRANSCRIPTOMIC","size fractionation"
"ERX4406301","NextSeq 500 sequencing; RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","Mesocricetus auratus","NextSeq 500","Division of Virology, Department of Pathology, Uni","ERP123475","RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","ERS4953017","","617.19","2","26408581","2007052156","WT_2_s","OTHER","TRANSCRIPTOMIC","size fractionation"
"ERX4406300","NextSeq 500 sequencing; RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","Mesocricetus auratus","NextSeq 500","Division of Virology, Department of Pathology, Uni","ERP123475","RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","ERS4953016","","60.65","1","1790088","136046688","WT_1_s","OTHER","TRANSCRIPTOMIC","size fractionation"
"ERX4406299","NextSeq 500 sequencing; RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","Mesocricetus auratus","NextSeq 500","Division of Virology, Department of Pathology, Uni","ERP123475","RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","ERS4953015","","534.42","1","21788351","1655914676","SS_3_s","OTHER","TRANSCRIPTOMIC","size fractionation"
"ERX4406298","NextSeq 500 sequencing; RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","Mesocricetus auratus","NextSeq 500","Division of Virology, Department of Pathology, Uni","ERP123475","RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","ERS4953014","","584","2","25027728","1902107328","SS_2_s","OTHER","TRANSCRIPTOMIC","size fractionation"
"ERX4406297","NextSeq 500 sequencing; RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","Mesocricetus auratus","NextSeq 500","Division of Virology, Department of Pathology, Uni","ERP123475","RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","ERS4953013","","60.36","1","2392994","181867544","SS_1_s","OTHER","TRANSCRIPTOMIC","size fractionation"
"ERX4406296","NextSeq 500 sequencing; RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","Mesocricetus auratus","NextSeq 500","Division of Virology, Department of Pathology, Uni","ERP123475","RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","ERS4953012","","675.28","1","27548554","2093690104","mock_3_s","OTHER","TRANSCRIPTOMIC","size fractionation"
"ERX4406295","NextSeq 500 sequencing; RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","Mesocricetus auratus","NextSeq 500","Division of Virology, Department of Pathology, Uni","ERP123475","RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","ERS4953011","","610.96","2","26398293","2006270268","mock_2_s","OTHER","TRANSCRIPTOMIC","size fractionation"
"ERX4406294","NextSeq 500 sequencing; RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","Mesocricetus auratus","NextSeq 500","Division of Virology, Department of Pathology, Uni","ERP123475","RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","ERS4953010","","65.66","1","1914259","145483684","mock_1_s","OTHER","TRANSCRIPTOMIC","size fractionation"
"ERX4406293","NextSeq 500 sequencing; RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","Mesocricetus auratus","NextSeq 500","Division of Virology, Department of Pathology, Uni","ERP123475","RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","ERS4953009","","743.84","1","30504465","2318339340","M3_3_s","OTHER","TRANSCRIPTOMIC","size fractionation"
"ERX4406292","NextSeq 500 sequencing; RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","Mesocricetus auratus","NextSeq 500","Division of Virology, Department of Pathology, Uni","ERP123475","RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","ERS4953008","","629.71","2","27308973","2075481948","M3_2_s","OTHER","TRANSCRIPTOMIC","size fractionation"
"ERX4406291","NextSeq 500 sequencing; RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","Mesocricetus auratus","NextSeq 500","Division of Virology, Department of Pathology, Uni","ERP123475","RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi","ERS4953007","","58.54","1","2290607","174086132","M3_1_s","OTHER","TRANSCRIPTOMIC","size fractionation"
"ERX4406290","NextSeq 500 sequencing; RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi. Fragments of lengths 35-65 nt purified.","Mesocricetus auratus","NextSeq 500","Division of Virology, Department of Pathology, Uni","ERP123474","RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi. Fragments of lengths 35-65 nt purified.","ERS4953006","","258.28","1","10624342","807449992","WT_s","OTHER","TRANSCRIPTOMIC","size fractionation"
"ERX4406289","NextSeq 500 sequencing; RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi. Fragments of lengths 35-65 nt purified.","Mesocricetus auratus","NextSeq 500","Division of Virology, Department of Pathology, Uni","ERP123474","RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi. Fragments of lengths 35-65 nt purified.","ERS4953005","","235.98","1","9730736","739535936","mock_s","OTHER","TRANSCRIPTOMIC","size fractionation"
"ERX4406288","NextSeq 500 sequencing; RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi. Fragments of lengths 35-65 nt purified.","Mesocricetus auratus","NextSeq 500","Division of Virology, Department of Pathology, Uni","ERP123474","RiboSeq of BSR cells infected at MOI 3 with Theiler's murine encephalomyelitis virus, compared to mock-infected controls, harvested at 10 hpi. Fragments of lengths 35-65 nt purified.","ERS4953004","","174.66","1","7230428","549512528","M3_s","OTHER","TRANSCRIPTOMIC","size fractionation"
"ERX2267612","NextSeq 500 sequencing; Ribosome profiling of mouse hepatitis virus (MHV)-infected and uninfected 17Cl1 cells","Mus musculus","NextSeq 500","","ERP105551","Ribosome profiling of mouse hepatitis virus (MHV)-infected and uninfected 17Cl1 cells","ERS2033786","","452.26","1","31862168","995813915","Sample 7_s","OTHER","TRANSCRIPTOMIC","other"
"ERX2267611","NextSeq 500 sequencing; Ribosome profiling of mouse hepatitis virus (MHV)-infected and uninfected 17Cl1 cells","Mus musculus","NextSeq 500","","ERP105551","Ribosome profiling of mouse hepatitis virus (MHV)-infected and uninfected 17Cl1 cells","ERS2033785","","269.51","1","19719970","696175590","Sample 3_s","OTHER","TRANSCRIPTOMIC","other"
"ERX2267610","NextSeq 500 sequencing; Ribosome profiling of mouse hepatitis virus (MHV)-infected and uninfected 17Cl1 cells","Mus musculus","NextSeq 500","","ERP105551","Ribosome profiling of mouse hepatitis virus (MHV)-infected and uninfected 17Cl1 cells","ERS2033784","","291.16","1","21075171","795503864","Sample 2_s","OTHER","TRANSCRIPTOMIC","other"
"ERX2267609","NextSeq 500 sequencing; Ribosome profiling of mouse hepatitis virus (MHV)-infected and uninfected 17Cl1 cells","Mus musculus","NextSeq 500","","ERP105551","Ribosome profiling of mouse hepatitis virus (MHV)-infected and uninfected 17Cl1 cells","ERS2033783","","267.8","1","19373074","704182554","Sample 1_s","OTHER","TRANSCRIPTOMIC","other"
"ERX2267608","NextSeq 500 sequencing; Ribosome profiling of mouse hepatitis virus (MHV)-infected and uninfected 17Cl1 cells","Mus musculus","NextSeq 500","","ERP105551","Ribosome profiling of mouse hepatitis virus (MHV)-infected and uninfected 17Cl1 cells","ERS2033782","","1224.87","1","87662383","2748885793","Sample 8_s","OTHER","TRANSCRIPTOMIC","other"
"ERX2267607","NextSeq 500 sequencing; Ribosome profiling of mouse hepatitis virus (MHV)-infected and uninfected 17Cl1 cells","Mus musculus","NextSeq 500","","ERP105551","Ribosome profiling of mouse hepatitis virus (MHV)-infected and uninfected 17Cl1 cells","ERS2033781","","363.07","1","25778593","968410544","Sample 6_s","OTHER","TRANSCRIPTOMIC","other"
"ERX2267606","NextSeq 500 sequencing; Ribosome profiling of mouse hepatitis virus (MHV)-infected and uninfected 17Cl1 cells","Mus musculus","NextSeq 500","","ERP105551","Ribosome profiling of mouse hepatitis virus (MHV)-infected and uninfected 17Cl1 cells","ERS2033780","","313.78","1","22029915","846776898","Sample 5_s","OTHER","TRANSCRIPTOMIC","other"
"ERX2267605","NextSeq 500 sequencing; Ribosome profiling of mouse hepatitis virus (MHV)-infected and uninfected 17Cl1 cells","Mus musculus","NextSeq 500","","ERP105551","Ribosome profiling of mouse hepatitis virus (MHV)-infected and uninfected 17Cl1 cells","ERS2033779","","359.96","1","25848915","927182849","Sample 4_s","OTHER","TRANSCRIPTOMIC","other"
"SRX12894605","GSM5664683: WT2_Riboseq; Mus musculus; OTHER","Mus musculus","Illumina HiSeq 4000","GEO","SRP302576","Neuronal Nsun2 deficiency is associated with codon-specific epitranscriptomic dysregulation of Gly-tRNAs and corresponding proteomic shift impacting synaptic signaling and behavior","SRS10837058","","0.07","1","386","19686","","OTHER","TRANSCRIPTOMIC","other"
"SRX12894604","GSM5664682: KO2_Riboseq; Mus musculus; OTHER","Mus musculus","Illumina HiSeq 4000","GEO","SRP302576","Neuronal Nsun2 deficiency is associated with codon-specific epitranscriptomic dysregulation of Gly-tRNAs and corresponding proteomic shift impacting synaptic signaling and behavior","SRS10837057","","0.07","1","386","19686","","OTHER","TRANSCRIPTOMIC","other"
"SRX12894603","GSM5664681: WT1_Riboseq; Mus musculus; OTHER","Mus musculus","Illumina HiSeq 4000","GEO","SRP302576","Neuronal Nsun2 deficiency is associated with codon-specific epitranscriptomic dysregulation of Gly-tRNAs and corresponding proteomic shift impacting synaptic signaling and behavior","SRS10837056","","0.07","1","386","19686","","OTHER","TRANSCRIPTOMIC","other"
"SRX12894602","GSM5664680: KO1_Riboseq; Mus musculus; OTHER","Mus musculus","Illumina HiSeq 4000","GEO","SRP302576","Neuronal Nsun2 deficiency is associated with codon-specific epitranscriptomic dysregulation of Gly-tRNAs and corresponding proteomic shift impacting synaptic signaling and behavior","SRS10837055","","0.07","1","386","19686","","OTHER","TRANSCRIPTOMIC","other"
"SRX12485728","Mitotic RiboSeq of HeLa cells: DENR_KO 2.11","Homo sapiens","NextSeq 550","Deutsches Krebsforschungszentrum","SRP339981","Mitotic RiboSeq","SRS10449269","","590.48","1","29275731","1493062281","AS-590215-LR-56173","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX12485727","Interphase RNASeq of HeLa cells: DENR_KO 2.11","Homo sapiens","NextSeq 550","Deutsches Krebsforschungszentrum","SRP339981","Mitotic RiboSeq","SRS10449271","","205.52","1","10170509","518695959","AS-590221-LR-56173","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX12485726","Interphase RNASeq of HeLa cells: WT","Homo sapiens","NextSeq 550","Deutsches Krebsforschungszentrum","SRP339981","Mitotic RiboSeq","SRS10449270","","117.92","1","5858133","298764783","AS-590219-LR-56173","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX12485725","Mitotic RiboSeq of HeLa cells: WT","Homo sapiens","NextSeq 550","Deutsches Krebsforschungszentrum","SRP339981","Mitotic RiboSeq","SRS10449268","","607.41","1","29963316","1528129116","AS-590213-LR-56173","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX12485724","Interphase RiboSeq of HeLa cells: DENR_KO 3.42","Homo sapiens","NextSeq 550","Deutsches Krebsforschungszentrum","SRP339981","Mitotic RiboSeq","SRS10449267","","639.03","1","31396001","1601196051","AS-590211-LR-56173","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX12485723","Interphase RiboSeq of HeLa cells: DENR_KO 2.11","Homo sapiens","NextSeq 550","Deutsches Krebsforschungszentrum","SRP339981","Mitotic RiboSeq","SRS10449271","","503.69","1","24574849","1253317299","AS-590209-LR-56173","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX12485722","Interphase RiboSeq of HeLa cells: WT","Homo sapiens","NextSeq 550","Deutsches Krebsforschungszentrum","SRP339981","Mitotic RiboSeq","SRS10449270","","646.26","1","31687544","1616064744","AS-590207-LR-56173","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX12485721","Mitotic RNASeq of HeLa cells: DENR_KO 3.42","Homo sapiens","NextSeq 550","Deutsches Krebsforschungszentrum","SRP339981","Mitotic RiboSeq","SRS10449266","","174.81","1","8669564","442147764","AS-590229-LR-56173","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX12485720","Mitotic RNASeq of HeLa cells: DENR_KO 2.11","Homo sapiens","NextSeq 550","Deutsches Krebsforschungszentrum","SRP339981","Mitotic RiboSeq","SRS10449269","","156.88","1","7776471","396600021","AS-590227-LR-56173","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX12485719","Mitotic RNASeq of HeLa cells: WT","Homo sapiens","NextSeq 550","Deutsches Krebsforschungszentrum","SRP339981","Mitotic RiboSeq","SRS10449268","","145.14","1","7204486","367428786","AS-590225-LR-56173","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX12485718","Interphase RNASeq of HeLa cells: DENR_KO 3.42","Homo sapiens","NextSeq 550","Deutsches Krebsforschungszentrum","SRP339981","Mitotic RiboSeq","SRS10449267","","151.02","1","7481765","381570015","AS-590223-LR-56173","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX12485717","Mitotic RiboSeq of HeLa cells: DENR_KO 3.42","Homo sapiens","NextSeq 550","Deutsches Krebsforschungszentrum","SRP339981","Mitotic RiboSeq","SRS10449266","","519.92","1","25818755","1316756505","AS-590217-LR-56173","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX12384025","GSM5600259: m1Aseq-Alkb-KO2 CD4 T cell-6h; Mus musculus; OTHER","Mus musculus","BGISEQ-500","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354157","","719.61","1","6286463","1885938900","","OTHER","TRANSCRIPTOMIC","other"
"SRX12384024","GSM5600258: m1Aseq-Alkb-KO1 CD4 T cell-6h; Mus musculus; OTHER","Mus musculus","BGISEQ-500","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354156","","829.76","1","7326801","2198040300","","OTHER","TRANSCRIPTOMIC","other"
"SRX12384023","GSM5600257: m1Aseq-Alkb-WT2 CD4 T cell-6h; Mus musculus; OTHER","Mus musculus","BGISEQ-500","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354155","","865.31","1","7545352","2263605600","","OTHER","TRANSCRIPTOMIC","other"
"SRX12384022","GSM5600256: m1Aseq-Alkb-WT1 CD4 T cell-6h; Mus musculus; OTHER","Mus musculus","BGISEQ-500","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354154","","739.06","1","6453794","1936138200","","OTHER","TRANSCRIPTOMIC","other"
"SRX12384021","GSM5600255: m1Aseq-KO2 CD4 T cell-6h; Mus musculus; OTHER","Mus musculus","BGISEQ-500","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354153","","467.28","1","4115385","1234615500","","OTHER","TRANSCRIPTOMIC","other"
"SRX12384020","GSM5600254: m1Aseq-KO1 CD4 T cell-6h; Mus musculus; OTHER","Mus musculus","BGISEQ-500","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354152","","513.85","1","4555175","1366552500","","OTHER","TRANSCRIPTOMIC","other"
"SRX12384019","GSM5600253: m1Aseq-WT2 CD4 T cell-6h; Mus musculus; OTHER","Mus musculus","BGISEQ-500","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354151","","598.43","1","5283410","1585023000","","OTHER","TRANSCRIPTOMIC","other"
"SRX12384018","GSM5600252: m1Aseq-WT1 CD4 T cell-6h; Mus musculus; OTHER","Mus musculus","BGISEQ-500","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354150","","541.01","1","4754532","1426359600","","OTHER","TRANSCRIPTOMIC","other"
"SRX12384013","GSM5600247: RNAseq-KO2 CD4 T cell-48h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354145","","2073.03","1","22651019","6795305700","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12384012","GSM5600246: RNAseq-KO1 CD4 T cell-48h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354143","","2198.77","1","24033589","7210076700","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12384011","GSM5600245: RNAseq-KO2 CD4 T cell-6h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354144","","2152.77","1","23875035","7162510500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12384010","GSM5600244: RNAseq-KO1 CD4 T cell-6h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354142","","2101.32","1","23429752","7028925600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12384009","GSM5600243: RNAseq-KO2 CD4 T cell-3h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354141","","2068.73","1","22991542","6897462600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12384008","GSM5600242: RNAseq-KO1 CD4 T cell-3h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354140","","2134.45","1","23755670","7126701000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12384007","GSM5600241: RNAseq-KO2 CD4 T cell-0h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354139","","2064.69","1","22764883","6829464900","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12384006","GSM5600240: RNAseq-KO1 CD4 T cell-0h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354137","","2188.9","1","23078819","6923645700","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12384005","GSM5600239: RNAseq-WT2 CD4 T cell-48h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354138","","2109.66","1","23042683","6912804900","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12384004","GSM5600238: RNAseq-WT1 CD4 T cell-48h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354136","","2552.12","1","27895416","8368624800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12384003","GSM5600237: RNAseq-WT2 CD4 T cell-18h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354135","","2789.19","1","25743530","7472118868","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12384002","GSM5600236: RNAseq-WT1 CD4 T cell-18h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354132","","2769.5","1","25770945","7456556221","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12384001","GSM5600235: RNAseq-WT2 CD4 T cell-6h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354134","","2358.35","1","26012735","7803820500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12384000","GSM5600234: RNAseq-WT1 CD4 T cell-6h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354133","","2166.27","1","23905355","7171606500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12383999","GSM5600233: RNAseq-WT2 CD4 T cell-3h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354131","","2134.39","1","23641990","7092597000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12383998","GSM5600232: RNAseq-WT1 CD4 T cell-3h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354130","","2254.57","1","24834379","7450313700","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12383997","GSM5600231: RNAseq-WT2 CD4 T cell-0h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354129","","2157.64","1","23750798","7125239400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX12383996","GSM5600230: RNAseq-WT1 CD4 T cell-0h; Mus musculus; RNA-Seq","Mus musculus","Illumina NovaSeq 6000","GEO","SRP339104","tRNA-m1A modification promotes T cell expansion via efficient MYC protein synthesis","SRS10354128","","2269.33","1","23972745","7191823500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"ERX5770499","Illumina HiSeq 4000 sequencing","Kluyveromyces marxianus","Illumina HiSeq 4000","UNIVERSITY COLLEGE CORK","ERP129748","Multiomics analysis of Kluyveromyces marxianus protein coding potential and high-quality data-driven reannotation of its genome.","ERS6594762","","308.47","1","27960527","799851891","40oC_60min_replicate_2_riboseq","OTHER","TRANSCRIPTOMIC","other"
