"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX10855873","GSM5291904: eIF2A KO HEK293T #1 arsenite Ribo-seq replicate 1; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951504","","290.61","1","28183206","660969920","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855872","GSM5291903: WT HEK293T arsenite RNA-seq replicate 2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951503","","802.13","1","54472482","2778096582","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855871","GSM5291902: WT HEK293T arsenite RNA-seq replicate 1; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951502","","570.82","1","38618416","1969539216","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855870","GSM5291901: WT HEK293T arsenite Ribo-seq replicate 2; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951501","","370.07","1","34698419","847450374","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855869","GSM5291900: WT HEK293T arsenite Ribo-seq replicate 1; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951500","","509.95","1","49198915","1158906235","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855868","GSM5291899: eIF2A, eIF2D DKO HEK293T #2 RNA-seq replicate 2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951499","","354.52","1","24430905","1245976155","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855867","GSM5291898: eIF2A, eIF2D DKO HEK293T #2 RNA-seq replicate 1; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951498","","713.75","1","49628588","2531057988","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855866","GSM5291897: eIF2A, eIF2D DKO HEK293T #2 Ribo-seq replicate 2; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951497","","651.51","1","57946603","1509498441","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855865","GSM5291896: eIF2A, eIF2D DKO HEK293T #2 Ribo-seq replicate 1; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951496","","599.64","1","54647184","1524917239","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855864","GSM5291895: eIF2A, eIF2D DKO HEK293T #1 RNA-seq replicate 2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951495","","462.89","1","31938315","1628854065","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855863","GSM5291894: eIF2A, eIF2D DKO HEK293T #1 RNA-seq replicate 1; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951494","","699.42","1","48572308","2477187708","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855862","GSM5291893: eIF2A, eIF2D DKO HEK293T #1 Ribo-seq replicate 2; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951493","","401.17","1","35443008","934245824","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855861","GSM5291892: eIF2A, eIF2D DKO HEK293T #1 Ribo-seq replicate 1; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951492","","489.47","1","46529766","1193001513","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855860","GSM5291891: eIF2D KO HEK293T #2 RNA-seq replicate 2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951491","","363","1","25035141","1276792191","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855859","GSM5291890: eIF2D KO HEK293T #2 RNA-seq replicate 1; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951490","","787.41","1","54767000","2793117000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855858","GSM5291889: eIF2D KO HEK293T #2 Ribo-seq replicate 2; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951489","","575.51","1","53280058","1401909457","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855857","GSM5291888: eIF2D KO HEK293T #2 Ribo-seq replicate 1; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951488","","672.58","1","62063402","1587968563","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855856","GSM5291887: eIF2D KO HEK293T #1 RNA-seq replicate 2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951487","","374.66","1","25768390","1314187890","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855855","GSM5291886: eIF2D KO HEK293T #1 RNA-seq replicate 1; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951486","","847.69","1","59124043","3015326193","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855854","GSM5291885: eIF2D KO HEK293T #1 Ribo-seq replicate 2; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951485","","551.96","1","49228232","1269907580","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855853","GSM5291884: eIF2D KO HEK293T #1 Ribo-seq replicate 1; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951484","","378.66","1","35608687","894067421","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855852","GSM5291883: eIF2A KO HEK293T #2 RNA-seq replicate 2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951483","","345.82","1","23841042","1215893142","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855851","GSM5291882: eIF2A KO HEK293T #2 RNA-seq replicate 1; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951482","","709.3","1","49296127","2514102477","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855850","GSM5291881: eIF2A KO HEK293T #2 Ribo-seq replicate 2; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951481","","491.39","1","43479066","1137361331","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855849","GSM5291880: eIF2A KO HEK293T #2 Ribo-seq replicate 1; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951480","","314.78","1","28658398","731737475","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855848","GSM5291879: eIF2A KO HEK293T #1 RNA-seq replicate 2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951479","","443.73","1","30678230","1564589730","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855847","GSM5291878: eIF2A KO HEK293T #1 RNA-seq replicate 1; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951478","","680.78","1","47266145","2410573395","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855846","GSM5291877: eIF2A KO HEK293T #1 Ribo-seq replicate 2; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951477","","683.4","1","59673248","1600976723","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855845","GSM5291876: eIF2A KO HEK293T #1 Ribo-seq replicate 1; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951476","","221.5","1","20236423","531336432","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855844","GSM5291875: WT HEK293T RNA-seq replicate 4; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951475","","379.6","1","26124264","1332337464","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855843","GSM5291874: WT HEK293T RNA-seq replicate 3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951474","","681.27","1","47379956","2416377756","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855842","GSM5291873: WT HEK293T Ribo-seq replicate 2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951473","","577.33","1","51151886","1336589255","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855841","GSM5291872: WT HEK293T Ribo-seq replicate 1; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951472","","611.54","1","55523279","1446346407","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855840","GSM5291871: WT HEK293T LTM replicate 2; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951471","","279.84","1","26330536","634932980","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855839","GSM5291870: WT HEK293T LTM replicate 1; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951470","","298.74","1","27733936","676156622","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855838","GSM5291869: WT HEK293T CHX replicate 2; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951469","","551.58","1","52552922","1309694660","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855837","GSM5291868: WT HEK293T CHX replicate 1; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951468","","536.54","1","51445285","1269538088","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855836","GSM5291867: WT HEK293T RNA-seq replicate 2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951467","","628.79","1","22461947","2268656647","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855835","GSM5291866: WT HEK293T RNA-seq replicate 1; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951466","","637.42","1","22662051","2288867151","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855834","GSM5291865: eIF3D KI HEK293T RNA-seq replicate 2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951465","","663.55","1","23621301","2385751401","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855833","GSM5291864: eIF3D KI HEK293T RNA-seq replicate 1; Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951464","","614.32","1","21908452","2212753652","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10855832","GSM5291863: 40S eIF3B Sel-TCP-seq replicate 2; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951463","","198.74","1","15448720","535321938","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855831","GSM5291862: 40S eIF3B Sel-TCP-seq replicate 1; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951462","","210.8","1","17135762","557987305","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855830","GSM5291861: 40S eIF3D-V5 Sel-TCP-seq replicate 2; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951461","","186.79","1","15374210","461880716","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855829","GSM5291860: 40S eIF3D-V5 Sel-TCP-seq replicate 1; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951460","","222.29","1","19006545","572133867","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855828","GSM5291859: 40S eIF3D-V5 input replicate 2; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951459","","760.33","1","66180128","1970066241","","OTHER","TRANSCRIPTOMIC","other"
"SRX10855827","GSM5291858: 40S eIF3D-V5 input replicate 1; Homo sapiens; OTHER","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP319472","Combinatorial analyis of translation dynamics reveals eIF2 dependence of translation initiation at near-cognate codons","SRS8951458","","912.66","1","77206273","2364362774","","OTHER","TRANSCRIPTOMIC","other"
"SRX10828247","GSM5288068: RNA-seq_AB-I-LL-3; Oenothera elata subsp. hookeri x Oenothera grandiflora; RNA-Seq","Oenothera elata subsp. hookeri x Oenothera grandiflora","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912523","","1004.66","1","32808442","3280844200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828246","GSM5288067: RNA-seq_AB-I-LL-2; Oenothera elata subsp. hookeri x Oenothera grandiflora; RNA-Seq","Oenothera elata subsp. hookeri x Oenothera grandiflora","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912522","","1243.27","1","41182334","4118233400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828245","GSM5288066: RNA-seq_AB-I-LL-1; Oenothera elata subsp. hookeri x Oenothera grandiflora; RNA-Seq","Oenothera elata subsp. hookeri x Oenothera grandiflora","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912521","","1344.65","1","44413559","4441355900","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828244","GSM5288065: RNA-seq_AA-I-LL-3; Oenothera elata subsp. hookeri; RNA-Seq","Oenothera elata subsp. hookeri","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912520","","2167.08","1","71476631","7147663100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828243","GSM5288064: RNA-seq_AA-I-LL-2; Oenothera elata subsp. hookeri; RNA-Seq","Oenothera elata subsp. hookeri","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912519","","1201.53","1","39283935","3928393500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828242","GSM5288063: RNA-seq_AA-I-LL-1; Oenothera elata subsp. hookeri; RNA-Seq","Oenothera elata subsp. hookeri","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912518","","1017.79","1","33704148","3370414800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828241","GSM5288062: RNA-seq_AB-II-HL-3; Oenothera elata subsp. hookeri x Oenothera grandiflora; RNA-Seq","Oenothera elata subsp. hookeri x Oenothera grandiflora","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912517","","920.16","1","29759664","2975966400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828240","GSM5288061: RNA-seq_AB-II-HL-2; Oenothera elata subsp. hookeri x Oenothera grandiflora; RNA-Seq","Oenothera elata subsp. hookeri x Oenothera grandiflora","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912516","","1319.92","1","43171290","4317129000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828239","GSM5288060: RNA-seq_AB-II-HL-1; Oenothera elata subsp. hookeri x Oenothera grandiflora; RNA-Seq","Oenothera elata subsp. hookeri x Oenothera grandiflora","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912515","","1074.22","1","35087735","3508773500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828238","GSM5288059: RNA-seq_AB-I-HL-3; Oenothera elata subsp. hookeri x Oenothera grandiflora; RNA-Seq","Oenothera elata subsp. hookeri x Oenothera grandiflora","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912514","","1242.84","1","40899679","4089967900","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828237","GSM5288058: RNA-seq_AB-I-HL-2; Oenothera elata subsp. hookeri x Oenothera grandiflora; RNA-Seq","Oenothera elata subsp. hookeri x Oenothera grandiflora","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912513","","2146.06","1","71313703","7131370300","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828236","GSM5288057: RNA-seq_AB-I-HL-1; Oenothera elata subsp. hookeri x Oenothera grandiflora; RNA-Seq","Oenothera elata subsp. hookeri x Oenothera grandiflora","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912512","","1790.91","1","59053685","5905368500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828235","GSM5288056: RNA-seq_AA-II-HL-3; Oenothera elata subsp. hookeri; RNA-Seq","Oenothera elata subsp. hookeri","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912511","","1116.34","1","36722537","3672253700","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828234","GSM5288055: RNA-seq_AA-II-HL-2; Oenothera elata subsp. hookeri; RNA-Seq","Oenothera elata subsp. hookeri","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912509","","1124.5","1","36633015","3663301500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828233","GSM5288054: RNA-seq_AA-II-HL-1; Oenothera elata subsp. hookeri; RNA-Seq","Oenothera elata subsp. hookeri","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912510","","1083.41","1","35403964","3540396400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828232","GSM5288053: RNA-seq_AA-I-HL-3; Oenothera elata subsp. hookeri; RNA-Seq","Oenothera elata subsp. hookeri","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912508","","2170.55","1","71448585","7144858500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828231","GSM5288052: RNA-seq_AA-I-HL-2; Oenothera elata subsp. hookeri; RNA-Seq","Oenothera elata subsp. hookeri","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912506","","1815.74","1","58838127","5883812700","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828230","GSM5288051: RNA-seq_AA-I-HL-1; Oenothera elata subsp. hookeri; RNA-Seq","Oenothera elata subsp. hookeri","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912507","","1293.11","1","42936997","4293699700","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX10828229","GSM5288050: Ribo-seq_AB-II-HL-3; Oenothera elata subsp. hookeri x Oenothera grandiflora; OTHER","Oenothera elata subsp. hookeri x Oenothera grandiflora","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912505","","2090.49","1","66500608","6650060800","","OTHER","TRANSCRIPTOMIC","other"
"SRX10828228","GSM5288049: Ribo-seq_AB-II-HL-2; Oenothera elata subsp. hookeri x Oenothera grandiflora; OTHER","Oenothera elata subsp. hookeri x Oenothera grandiflora","NextSeq 500","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912503","","877.22","1","32698997","2452424775","","OTHER","TRANSCRIPTOMIC","other"
"SRX10828227","GSM5288048: Ribo-seq_AB-II-HL-1; Oenothera elata subsp. hookeri x Oenothera grandiflora; OTHER","Oenothera elata subsp. hookeri x Oenothera grandiflora","NextSeq 500","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912504","","847.87","1","33256017","2494201275","","OTHER","TRANSCRIPTOMIC","other"
"SRX10828226","GSM5288047: Ribo-seq_AB-I-HL-3; Oenothera elata subsp. hookeri x Oenothera grandiflora; OTHER","Oenothera elata subsp. hookeri x Oenothera grandiflora","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912502","","2254.57","1","68892392","6889239200","","OTHER","TRANSCRIPTOMIC","other"
"SRX10828225","GSM5288046: Ribo-seq_AB-I-HL-2; Oenothera elata subsp. hookeri x Oenothera grandiflora; OTHER","Oenothera elata subsp. hookeri x Oenothera grandiflora","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912500","","2800.78","1","87198624","8719862400","","OTHER","TRANSCRIPTOMIC","other"
"SRX10828224","GSM5288045: Ribo-seq_AB-I-HL-1; Oenothera elata subsp. hookeri x Oenothera grandiflora; OTHER","Oenothera elata subsp. hookeri x Oenothera grandiflora","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912501","","1976.28","1","59851919","5985191900","","OTHER","TRANSCRIPTOMIC","other"
"SRX10828223","GSM5288044: Ribo-seq_AA-II-HL-3; Oenothera elata subsp. hookeri; OTHER","Oenothera elata subsp. hookeri","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912499","","2549.39","1","81604494","8160449400","","OTHER","TRANSCRIPTOMIC","other"
"SRX10828222","GSM5288043: Ribo-seq_AA-II-HL-2; Oenothera elata subsp. hookeri; OTHER","Oenothera elata subsp. hookeri","NextSeq 500","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912498","","482.92","1","17955120","1346634000","","OTHER","TRANSCRIPTOMIC","other"
"SRX10828221","GSM5288042: Ribo-seq_AA-II-HL-1; Oenothera elata subsp. hookeri; OTHER","Oenothera elata subsp. hookeri","NextSeq 500","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912497","","629.44","1","24930426","1869781950","","OTHER","TRANSCRIPTOMIC","other"
"SRX10828220","GSM5288041: Ribo-seq_AA-I-HL-3; Oenothera elata subsp. hookeri; OTHER","Oenothera elata subsp. hookeri","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912496","","1943.64","1","59723096","5972309600","","OTHER","TRANSCRIPTOMIC","other"
"SRX10828219","GSM5288040: Ribo-seq_AA-I-HL-2; Oenothera elata subsp. hookeri; OTHER","Oenothera elata subsp. hookeri","Illumina NovaSeq 6000","GEO","SRP319167","A photosynthesis operon in the chloroplast genome drives speciation in evening primroses","SRS8912495","","2512.72","1","79081306","7908130600","","OTHER","TRANSCRIPTOMIC","other"
