Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,source_name,GEO_Accession (exp),Library Name,TISSUE,Strain,Cell_type,Cell_line,TREATMENT,Age,Genotype,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Sample_Name,Submitter_Id,common_name,Broker_name,sex,BioSampleModel,molecule_subtype,REPLICATE,Organism_part,disease,Fraction,infect,inhibitors,internal_animal_id,Cultivar,Developmental_stage,Experimental_Factor:_infect (exp),sirna,Isolate,protocol,TIME_POINT,dev_stage,injection_route,SAMPLE_TYPE,BIOMATERIAL_PROVIDER,Experimental_Factor:_genotype (exp),rna_processing,sequencing_protocol,assay,Biological_Repeat,compound,Experimental_Factor:_protocol (exp),experiment_type,LINE,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,molecule_type,analyte_type,biospecimen_repository,biospecimen_repository_sample_id,body_site,Consent_Code,Ecotype,gap_accession,study_design,study_name,subject_is_affected,submitted_subject_id,BREED,Experimental_Factor:_compound (exp),Experimental_Factor:_MHV-A59 (exp),Experimental_Factor:_cycloheximide (exp),stress_type,agent,study_disease,growth_condition,rna_fraction,spike-in,oldname,tissue_source,genotype/variation,AssemblyName,BioSample_ID,Clone,collected_by,gender,rpl10_form,disease_stage,ethinicity,Collection_Date,Experimental_Factor:_1 (exp),Experimental_Factor:_harringtonine_+_cycloheximide (exp),cell_subtype,environmental_history,Experimental_Factor:_8 (exp),Experimental_Factor:_Mock (exp),Experimental_Factor:_sampling_time_point (exp),Molecule,profiling,rna_population,sample_treatment,Stage,strategy,viral_strain,assay_type,assay_types,genetic_modification,substrain,Day,library_strategy,Experimental_Factor:_dose (exp),experimental_factor:_infection,stimulation,transduced,assayed_molecule,Experimental_Factor:_stimulus (exp),Experimental_Factor:_strain (exp),HOST,Isolation_Source,Replicates,Replication,treatment_of_lysate
SRR12168292,RNA-Seq,50,981069850,PRJNA644623,SAMN15468207,330095446,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8683205,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2020-07-08T00:00:00Z,2020-07-07T21:46:00Z,1,GSM4661074,SRP270806,maize seedling roots,GSM4661074,,seedling roots,,,,0 hour tunicamycin treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,B73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12168293,RNA-Seq,50,1064978900,PRJNA644623,SAMN15468206,360702206,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8683206,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2020-07-08T00:00:00Z,2020-07-07T21:47:00Z,1,GSM4661075,SRP270806,maize seedling roots,GSM4661075,,seedling roots,,,,0 hour tunicamycin treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,B73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12168295,RNA-Seq,50,1604316150,PRJNA644623,SAMN15468194,556024480,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8683207,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2020-07-08T00:00:00Z,2020-07-07T21:49:00Z,1,GSM4661076,SRP270806,maize seedling roots,GSM4661076,,seedling roots,,,,6 hour tunicamycin treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,B73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12168297,RNA-Seq,50,853273050,PRJNA644623,SAMN15468193,289044905,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8683208,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2020-07-08T00:00:00Z,2020-07-07T21:45:00Z,1,GSM4661077,SRP270806,maize seedling roots,GSM4661077,,seedling roots,,,,6 hour tunicamycin treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,B73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12168301,RNA-Seq,50,1123695150,PRJNA644623,SAMN15468191,376318194,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8683210,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Zea mays,ILLUMINA,2020-07-08T00:00:00Z,2020-07-07T21:47:00Z,1,GSM4661079,SRP270806,maize seedling roots,GSM4661079,,seedling roots,,,,12 hour tunicamycin treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,B73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7907165,OTHER,40,928477600,PRJNA493293,SAMN10134134,533170782,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX4743296,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-29T00:00:00Z,2018-09-26T22:15:00Z,1,GSM3402661,SRP162708,d9.Riboseq.cont,GSM3402661,,liver,FVB/N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scrambled luciferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Ribo-Seq,,,,,,,,,,,,
SRR7907166,OTHER,40,936493440,PRJNA493293,SAMN10134133,537936198,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX4743297,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-29T00:00:00Z,2018-09-26T22:12:00Z,1,GSM3402662,SRP162708,d9.Riboseq.cont,GSM3402662,,liver,FVB/N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scrambled luciferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Ribo-Seq,,,,,,,,,,,,
SRR7907167,OTHER,40,831875480,PRJNA493293,SAMN10134132,475857927,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX4743298,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-29T00:00:00Z,2018-09-26T22:11:00Z,1,GSM3402663,SRP162708,d9.Riboseq.cont,GSM3402663,,liver,FVB/N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scrambled luciferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Ribo-Seq,,,,,,,,,,,,
SRR7907168,OTHER,40,781458800,PRJNA493293,SAMN10134131,450799505,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX4743299,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-29T00:00:00Z,2018-09-26T22:11:00Z,1,GSM3402664,SRP162708,d9.Riboseq.Eif3m,GSM3402664,,liver,FVB/N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eif3m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Ribo-Seq,,,,,,,,,,,,
SRR7907169,OTHER,40,827000040,PRJNA493293,SAMN10134130,473434296,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4743300,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-29T00:00:00Z,2018-09-26T22:12:00Z,1,GSM3402665,SRP162708,d9.Riboseq.Eif3m,GSM3402665,,liver,FVB/N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eif3m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Ribo-Seq,,,,,,,,,,,,
SRR7907170,OTHER,40,767149760,PRJNA493293,SAMN10134129,442725368,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4743301,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-29T00:00:00Z,2018-09-26T22:11:00Z,1,GSM3402666,SRP162708,d9.Riboseq.Eif3m,GSM3402666,,liver,FVB/N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eif3m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Ribo-Seq,,,,,,,,,,,,
SRR7907175,OTHER,50,1636280919,PRJNA493293,SAMN10134124,1051535887,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX4743306,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-29T00:00:00Z,2018-09-28T13:50:00Z,1,GSM3402671,SRP162708,d13.Riboseq.cont,GSM3402671,,liver,FVB/N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scrambled luciferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Ribo-Seq,,,,,,,,,,,,
SRR7907176,OTHER,50,406675346,PRJNA493293,SAMN10134122,263278007,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4743307,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-29T00:00:00Z,2018-09-28T13:44:00Z,1,GSM3402672,SRP162708,d13.Riboseq.cont,GSM3402672,,liver,FVB/N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scrambled luciferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Ribo-Seq,,,,,,,,,,,,
SRR7907177,OTHER,50,360525635,PRJNA493293,SAMN10134121,231874781,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX4743308,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-29T00:00:00Z,2018-09-28T13:44:00Z,1,GSM3402673,SRP162708,d13.Riboseq.Eif3m,GSM3402673,,liver,FVB/N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eif3m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Ribo-Seq,,,,,,,,,,,,
SRR7907178,OTHER,50,1784738627,PRJNA493293,SAMN10134141,1151165725,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX4743309,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-29T00:00:00Z,2018-09-28T13:54:00Z,1,GSM3402674,SRP162708,d13.Riboseq.Eif3m,GSM3402674,,liver,FVB/N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eif3m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Ribo-Seq,,,,,,,,,,,,
SRR7967949,MNase-Seq,29,277469395,PRJNA494793,SAMN10180269,161295868,TUFTS UNIVERSITY SCHOOL OF MEDICINE,public,"bam,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX4801447,Illumina HiSeq 2000,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-22T00:00:00Z,2019-02-22T17:57:00Z,1,Uninfected BMDMs RiboSeq,SRP163544,,,6896,Bone marrow,C57BL/6,Macrophages,,,10 weeks,,,,,,,,,,,,,,,,female,Model organism or animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GCA_000001635.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7967951,MNase-Seq,28,454291328,PRJNA494793,SAMN10180270,255466216,TUFTS UNIVERSITY SCHOOL OF MEDICINE,public,"bam,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4801445,Illumina HiSeq 2000,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-22T00:00:00Z,2019-02-22T18:04:00Z,1,Lp02 infected BMDMs Riboseq,SRP163544,,,6897,Bone marrow,C57BL/6,,,,10 weeks,,,,,,,,,,,,,,,,female,Model organism or animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GCA_000001635.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12316441,OTHER,50,3284484750,PRJNA648316,SAMN15638113,1739390653,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8817797,Illumina HiSeq 3000,SINGLE,other,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2020-12-28T00:00:00Z,2020-07-28T17:34:00Z,1,GSM4694012,SRP273404,Bacterial liquid culture,GSM4694012,,,HG003 delta-mazEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASM1342v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12316449,OTHER,50,1997546850,PRJNA648316,SAMN15638117,1013688646,GEO,public,"run.zq,sra,bam","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8817793,Illumina HiSeq 3000,SINGLE,other,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2020-12-28T00:00:00Z,2020-07-28T17:12:00Z,1,GSM4694008,SRP273404,Bacterial liquid culture,GSM4694008,,,HG003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASM1342v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12316450,OTHER,50,1758057850,PRJNA648316,SAMN15638116,830804524,GEO,public,"sra,run.zq,bam","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8817794,Illumina HiSeq 3000,SINGLE,other,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2020-12-28T00:00:00Z,2020-07-28T17:06:00Z,1,GSM4694009,SRP273404,Bacterial liquid culture,GSM4694009,,,HG003 delta-mazEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASM1342v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1802071,RNA-Seq,31,1036495741,PRJEB19102,SAMEA52779418,469013510,"Biochemistry Department, University of Cambridge",public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1865802,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Aedes albopictus,ILLUMINA,2018-07-04T00:00:00Z,2022-07-22T10:57:00Z,2,SAMEA52779418,ERP021092,,,Sample 10_s,,,,C6/36,,,,2018-06-30,2018-06-30,2018-11-16,2017-01-19,SAMEA52779418,University of Cambridge,University of Cambridge,2018-06-30T17:02:37Z,2017-01-19T20:41:53Z,public,E-MTAB-5418:Sample 10,E-MTAB-5418:Sample 10,Asian tiger mosquito,ArrayExpress,,,,,,,,ZIKV-PE243 virus,,,,,,,,,24,,,,,,,RNA-Seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1802076,RNA-Seq,32,882916179,PRJEB19102,SAMEA52783168,378560936,"Biochemistry Department, University of Cambridge",public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1865807,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Aedes albopictus,ILLUMINA,2018-07-04T00:00:00Z,2022-07-23T19:19:00Z,2,SAMEA52783168,ERP021092,,,Sample 6_s,,,,C6/36,,,,2018-06-30,2018-06-30,2018-11-16,2017-01-19,SAMEA52783168,University of Cambridge,University of Cambridge,2018-06-30T17:02:37Z,2017-01-19T20:41:53Z,public,E-MTAB-5418:Sample 6,E-MTAB-5418:Sample 6,Asian tiger mosquito,ArrayExpress,,,,,,,,ZIKV-PE243 virus,,,,,,,,,24,,,,,,,Ribo-Seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1802077,RNA-Seq,31,397075719,PRJEB19102,SAMEA52783918,203437766,"Biochemistry Department, University of Cambridge",public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1865808,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Aedes albopictus,ILLUMINA,2018-07-04T00:00:00Z,2022-07-19T01:22:00Z,2,SAMEA52783918,ERP021092,,,Sample 7_s,,,,C6/36,,,,2018-06-30,2018-06-30,2018-11-16,2017-01-19,SAMEA52783918,University of Cambridge,University of Cambridge,2018-06-30T17:02:37Z,2017-01-19T20:41:53Z,public,E-MTAB-5418:Sample 7,E-MTAB-5418:Sample 7,Asian tiger mosquito,ArrayExpress,,,,,,,,ZIKV-PE243 virus,,,,,,,,,24,,,,,,,Ribo-Seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1802078,RNA-Seq,30,542405945,PRJEB19102,SAMEA52784668,277691897,"Biochemistry Department, University of Cambridge",public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1865809,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Aedes albopictus,ILLUMINA,2018-07-04T00:00:00Z,2021-10-20T20:33:00Z,2,SAMEA52784668,ERP021092,,,Sample 8_s,,,,C6/36,,,,2018-06-30,2018-06-30,2018-11-16,2017-01-19,SAMEA52784668,University of Cambridge,University of Cambridge,2018-06-30T17:02:37Z,2017-01-19T20:41:53Z,public,E-MTAB-5418:Sample 8,E-MTAB-5418:Sample 8,Asian tiger mosquito,ArrayExpress,,,,,,,,ZIKV-PE243 virus,,,,,,,,,24,,,,,,,Ribo-Seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1802079,RNA-Seq,32,1316636689,PRJEB19102,SAMEA52785418,589269485,"Biochemistry Department, University of Cambridge",public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1865810,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Aedes albopictus,ILLUMINA,2018-07-04T00:00:00Z,2022-07-23T19:23:00Z,2,SAMEA52785418,ERP021092,,,Sample 9_s,,,,C6/36,,,,2018-06-30,2018-06-30,2018-11-16,2017-01-19,SAMEA52785418,University of Cambridge,University of Cambridge,2018-06-30T17:02:37Z,2017-01-19T20:41:53Z,public,E-MTAB-5418:Sample 9,E-MTAB-5418:Sample 9,Asian tiger mosquito,ArrayExpress,,,,,,,,ZIKV-PE243 virus,,,,,,,,,24,,,,,,,RNA-Seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2528907,OTHER,76,1087388316,PRJEB26279,SAMEA4590062,418896950,University of Cambridge Department of Biochemistry,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX2547744,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2018-07-03T00:00:00Z,2022-07-17T22:26:00Z,2,SAMEA4590062,ERP108253,,,Sample 10_s,,,fibroblast of dermis,E. Derm (NBL-6),,,,2018-05-15,2018-05-15,2018-11-16,2018-04-17,SAMEA4590062,University of Cambridge,University of Cambridge,2018-05-15T17:02:58Z,2018-04-17T17:18:14Z,public,E-MTAB-6656:Sample 10,E-MTAB-6656:Sample 10,horse,ArrayExpress,,,,,skin,,,,,,,,Berne virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quarterhorse,Harringtonine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
ERR2528908,OTHER,75,2473016956,PRJEB26279,SAMEA4590063,890966777,University of Cambridge Department of Biochemistry,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX2547745,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2018-07-03T00:00:00Z,2022-07-19T01:30:00Z,2,SAMEA4590063,ERP108253,,,Sample 1_s,,,fibroblast of dermis,E. Derm (NBL-6),,,,2018-05-15,2018-05-15,2018-11-16,2018-04-17,SAMEA4590063,University of Cambridge,University of Cambridge,2018-05-15T17:02:58Z,2018-04-17T17:18:14Z,public,E-MTAB-6656:Sample 1,E-MTAB-6656:Sample 1,horse,ArrayExpress,,,,,skin,,,,,,,,Berne virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quarterhorse,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2528909,OTHER,75,2459757997,PRJEB26279,SAMEA4590064,904100849,University of Cambridge Department of Biochemistry,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX2547746,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2018-07-03T00:00:00Z,2022-07-15T21:40:00Z,2,SAMEA4590064,ERP108253,,,Sample 2_s,,,fibroblast of dermis,E. Derm (NBL-6),,,,2018-05-15,2018-05-15,2018-11-16,2018-04-17,SAMEA4590064,University of Cambridge,University of Cambridge,2018-05-15T17:02:58Z,2018-04-17T17:18:14Z,public,E-MTAB-6656:Sample 2,E-MTAB-6656:Sample 2,horse,ArrayExpress,,,,,skin,,,,,,,,Berne virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quarterhorse,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2528910,OTHER,76,2106754808,PRJEB26279,SAMEA4590065,884979622,University of Cambridge Department of Biochemistry,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX2547747,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2018-07-03T00:00:00Z,2022-07-15T16:07:00Z,2,SAMEA4590065,ERP108253,,,Sample 3_s,,,fibroblast of dermis,E. Derm (NBL-6),,,,2018-05-15,2018-05-15,2018-11-16,2018-04-17,SAMEA4590065,University of Cambridge,University of Cambridge,2018-05-15T17:02:58Z,2018-04-17T17:18:14Z,public,E-MTAB-6656:Sample 3,E-MTAB-6656:Sample 3,horse,ArrayExpress,,,,,skin,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quarterhorse,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2528911,OTHER,76,2099039820,PRJEB26279,SAMEA4590066,875979043,University of Cambridge Department of Biochemistry,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX2547748,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2018-07-03T00:00:00Z,2022-07-23T18:15:00Z,2,SAMEA4590066,ERP108253,,,Sample 4_s,,,fibroblast of dermis,E. Derm (NBL-6),,,,2018-05-15,2018-05-15,2018-11-16,2018-04-17,SAMEA4590066,University of Cambridge,University of Cambridge,2018-05-15T17:02:58Z,2018-04-17T17:18:14Z,public,E-MTAB-6656:Sample 4,E-MTAB-6656:Sample 4,horse,ArrayExpress,,,,,skin,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quarterhorse,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2528912,RNA-Seq,75,2236617172,PRJEB26279,SAMEA4590067,810585134,University of Cambridge Department of Biochemistry,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX2547749,NextSeq 500,SINGLE,RANDOM,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2018-07-03T00:00:00Z,2022-07-13T11:00:00Z,2,SAMEA4590067,ERP108253,,,Sample 5_s,,,fibroblast of dermis,E. Derm (NBL-6),,,,2018-05-15,2018-05-15,2018-11-16,2018-04-17,SAMEA4590067,University of Cambridge,University of Cambridge,2018-05-15T17:02:58Z,2018-04-17T17:18:14Z,public,E-MTAB-6656:Sample 5,E-MTAB-6656:Sample 5,horse,ArrayExpress,,,,,skin,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quarterhorse,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
